"","occupation","major_category","minor_category","total_workers","workers_male","workers_female","percent_female","total_earnings","total_earnings_male","total_earnings_female","wage_percent_of_male","date_collected"
"1639","Statisticians","Computer, Engineering, and Science","Computer and mathematical",47469,26411,21058,44.3615833491331,81345,82414,80027,97.103647438542,2022-06-01
"1640","Miscellaneous mathematical science","Computer, Engineering, and Science","Computer and mathematical",3041,1616,1425,46.859585662611,66960,85022,46676,NA,2022-06-01
"1641","Architects, except naval","Computer, Engineering, and Science","Architecture and Engineering",157568,119954,37614,23.8715982940699,76154,81075,61765,76.1825470243602,2022-06-01
"1642","Surveyors, cartographers, and photogrammetrists","Computer, Engineering, and Science","Architecture and Engineering",27429,22619,4810,17.5361843304532,61119,62390,55812,NA,2022-06-01
"1643","Aerospace engineers","Computer, Engineering, and Science","Architecture and Engineering",114956,102611,12345,10.7388914019277,102350,104133,91982,88.3312686660329,2022-06-01
"1644","Agricultural engineers","Computer, Engineering, and Science","Architecture and Engineering",1976,1811,165,8.3502024291498,82707,83329,NA,NA,2022-06-01
"1645","Biomedical engineers","Computer, Engineering, and Science","Architecture and Engineering",12988,10977,2011,15.4835232522328,82150,82307,80583,NA,2022-06-01
"1646","Chemical engineers","Computer, Engineering, and Science","Architecture and Engineering",57812,46688,11124,19.2416799280426,100425,101626,84137,82.7908212465314,2022-06-01
"1647","Civil engineers","Computer, Engineering, and Science","Architecture and Engineering",311007,271698,39309,12.639265354156,86606,89218,75052,84.1220381537358,2022-06-01
"1648","Computer hardware engineers","Computer, Engineering, and Science","Architecture and Engineering",48767,42855,5912,12.122951996227,93870,95911,90712,NA,2022-06-01
"1649","Electrical and electronics engineers","Computer, Engineering, and Science","Architecture and Engineering",186214,171539,14675,7.88071788372518,96538,98702,81370,82.4400721363296,2022-06-01
"1650","Environmental engineers","Computer, Engineering, and Science","Architecture and Engineering",27552,19945,7607,27.6096109175378,80421,81736,75468,92.3314084369188,2022-06-01
"1651","Industrial engineers, including health and safety","Computer, Engineering, and Science","Architecture and Engineering",183615,145311,38304,20.8610407646434,79761,80491,75753,94.1136276105403,2022-06-01
"1652","Marine engineers and naval architects","Computer, Engineering, and Science","Architecture and Engineering",10619,9501,1118,10.5282983331764,90840,91898,80611,NA,2022-06-01
"1653","Materials engineers","Computer, Engineering, and Science","Architecture and Engineering",34668,31741,2927,8.44294450213453,81420,81479,80865,NA,2022-06-01
"1654","Mechanical engineers","Computer, Engineering, and Science","Architecture and Engineering",245579,228477,17102,6.96395050065356,84486,84537,84034,99.4049942628672,2022-06-01
"1655","Mining and geological engineers, including mining safety engineers","Computer, Engineering, and Science","Architecture and Engineering",8540,7389,1151,13.4777517564403,93125,95068,92216,NA,2022-06-01
"1656","Nuclear engineers","Computer, Engineering, and Science","Architecture and Engineering",6902,5756,1146,16.6038829324833,95190,96151,74659,NA,2022-06-01
"1657","Petroleum engineers","Computer, Engineering, and Science","Architecture and Engineering",22671,19383,3288,14.5031096996163,141359,150247,112500,NA,2022-06-01
"1658","Engineers, all other","Computer, Engineering, and Science","Architecture and Engineering",471817,411849,59968,12.7100125684323,93058,95214,85464,89.759909257042,2022-06-01
"1659","Drafters","Computer, Engineering, and Science","Architecture and Engineering",132332,110629,21703,16.4004171326663,52899,54290,50363,92.7666236876036,2022-06-01
"1660","Engineering technicians, except drafters","Computer, Engineering, and Science","Architecture and Engineering",319240,262975,56265,17.6246710938479,55953,58274,48448,83.1382777911247,2022-06-01
"1661","Surveying and mapping technicians","Computer, Engineering, and Science","Architecture and Engineering",55079,51382,3697,6.71217705477587,50071,50231,46731,NA,2022-06-01
"1662","Agricultural and food scientists","Computer, Engineering, and Science","Life, Physical, and Social Science",21091,13559,7532,35.711915034849,70220,71570,64842,90.5994131619394,2022-06-01
"1663","Biological scientists","Computer, Engineering, and Science","Life, Physical, and Social Science",65111,35893,29218,44.8741380104744,61171,65122,56853,87.3022941555849,2022-06-01
"1664","Conservation scientists and foresters","Computer, Engineering, and Science","Life, Physical, and Social Science",18235,14086,4149,22.7529476281876,60447,60340,60827,NA,2022-06-01
"1665","Medical scientists","Computer, Engineering, and Science","Life, Physical, and Social Science",116550,54653,61897,53.1076791076791,74534,80827,71175,88.0584458163732,2022-06-01
"1666","Life scientists, all other","Computer, Engineering, and Science","Life, Physical, and Social Science",4116,2467,1649,40.0631681243926,65765,81388,54712,NA,2022-06-01
"1667","Astronomers and physicists","Computer, Engineering, and Science","Life, Physical, and Social Science",9881,7669,2212,22.3863981378403,93935,101448,68105,NA,2022-06-01
"1668","Atmospheric and space scientists","Computer, Engineering, and Science","Life, Physical, and Social Science",10037,8609,1428,14.2273587725416,90434,91465,84167,NA,2022-06-01
"1669","Chemists and materials scientists","Computer, Engineering, and Science","Life, Physical, and Social Science",77023,49013,28010,36.3657608766213,70594,75433,63426,84.0825633343497,2022-06-01
"1670","Environmental scientists and geoscientists","Computer, Engineering, and Science","Life, Physical, and Social Science",63449,42834,20615,32.49066179136,72831,79279,60315,76.0794157343054,2022-06-01
"1671","Physical scientists, all other","Computer, Engineering, and Science","Life, Physical, and Social Science",192236,115118,77118,40.1163153623671,77439,87134,65913,75.6455574173113,2022-06-01
"1672","Economists","Computer, Engineering, and Science","Life, Physical, and Social Science",21747,15164,6583,30.2708419552122,109562,111514,103723,93.0134332908872,2022-06-01
"1673","Survey researchers","Computer, Engineering, and Science","Life, Physical, and Social Science",1453,423,1030,70.8878183069511,64230,23794,64931,NA,2022-06-01
"1674","Psychologists","Computer, Engineering, and Science","Life, Physical, and Social Science",121887,37701,84186,69.0688916783578,72789,90586,69134,76.318636433886,2022-06-01
"1675","Urban and regional planners","Computer, Engineering, and Science","Life, Physical, and Social Science",21747,12910,8837,40.6354899526371,70647,74634,65309,87.50569445561,2022-06-01
"1676","Miscellaneous social scientists and related workers, including sociologists","Computer, Engineering, and Science","Life, Physical, and Social Science",24486,12996,11490,46.9247733398677,61924,67455,57068,84.6015862426803,2022-06-01
"1677","Agricultural and food science technicians","Computer, Engineering, and Science","Life, Physical, and Social Science",27668,16564,11104,40.1330056382825,45039,48340,40927,84.6648738105089,2022-06-01
"1678","Biological technicians","Computer, Engineering, and Science","Life, Physical, and Social Science",16216,8401,7815,48.1931425752343,49041,50495,44796,88.7137340330726,2022-06-01
"1679","Chemical technicians","Computer, Engineering, and Science","Life, Physical, and Social Science",56741,40491,16250,28.638903085952,52188,54898,48580,88.4913840212758,2022-06-01
"1680","Geological and petroleum technicians","Computer, Engineering, and Science","Life, Physical, and Social Science",12268,9465,2803,22.848059993479,71250,71414,70152,NA,2022-06-01
"1681","Nuclear technicians","Computer, Engineering, and Science","Life, Physical, and Social Science",3432,3144,288,8.39160839160839,84688,87628,78893,NA,2023-01-01
"1682","Social science research assistants","Computer, Engineering, and Science","Life, Physical, and Social Science",1723,219,1504,87.2896111433546,41644,50617,41419,NA,2023-01-01
"1683","Miscellaneous life, physical, and social science technicians","Computer, Engineering, and Science","Life, Physical, and Social Science",127222,69211,58011,45.5982455864552,42673,45323,41614,91.8165170001986,2023-01-01
"1684","Counselors","Education, Legal, Community Service, Arts, and Media","Community and Social Service",536072,148955,387117,72.2136205584324,45356,46279,45007,97.2514531428942,2023-01-01
"1685","Social workers","Education, Legal, Community Service, Arts, and Media","Community and Social Service",704192,133995,570197,80.9718088248659,44669,44973,44603,99.1772841482667,2023-01-01
"1686","Probation officers and correctional treatment specialists","Education, Legal, Community Service, Arts, and Media","Community and Social Service",81680,37849,43831,53.6618511263467,48545,48620,48480,99.7120526532291,2023-01-01
"1687","Social and human service assistants","Education, Legal, Community Service, Arts, and Media","Community and Social Service",146414,32813,113601,77.5888917726447,37732,39459,37450,94.9086393471705,2023-01-01
"1688","Miscellaneous community and social service specialists, including health educators and community health workers","Education, Legal, Community Service, Arts, and Media","Community and Social Service",63963,21744,42219,66.0053468411425,45512,49319,42490,86.1534094365255,2023-01-01
"1689","Clergy","Education, Legal, Community Service, Arts, and Media","Community and Social Service",347581,291732,55849,16.0679093506262,45502,46282,41571,89.8210967546779,2023-01-01
"1690","Directors, religious activities and education","Education, Legal, Community Service, Arts, and Media","Community and Social Service",45090,20243,24847,55.1053448658239,44160,51925,40845,78.6615310544054,2023-01-01
"1691","Religious workers, all other","Education, Legal, Community Service, Arts, and Media","Community and Social Service",40939,19099,21840,53.347663597059,35551,37461,32408,86.5113050906276,2023-01-01
"1692","Lawyers","Education, Legal, Community Service, Arts, and Media","Legal",891088,568630,322458,36.1869983660424,122073,136043,102484,75.3320641267835,2023-01-01
"1693","Judicial law clerks","Education, Legal, Community Service, Arts, and Media","Legal",10323,3490,6833,66.191998450063,55882,56766,52494,NA,2023-01-01
"1694","Judges, magistrates, and other judicial workers","Education, Legal, Community Service, Arts, and Media","Legal",58544,32986,25558,43.6560535665482,102861,125071,80807,64.6089021435824,2023-01-01
"1695","Paralegals and legal assistants","Education, Legal, Community Service, Arts, and Media","Legal",318793,43287,275506,86.4215964591443,47223,49198,47073,95.6807187284036,2023-01-01
"1696","Miscellaneous legal support workers","Education, Legal, Community Service, Arts, and Media","Legal",126357,34026,92331,73.071535411572,50997,66459,46470,69.9228095517537,2023-01-01
"1697","Postsecondary teachers","Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",881345,470888,410457,46.5716603600179,67145,74485,61169,82.1225750151037,2023-01-01
"1698","Preschool and kindergarten teachers","Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",339677,6755,332922,98.0113460728869,25124,29102,25021,85.9769088035187,2023-01-01
"1699","Elementary and middle school teachers","Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",2398445,530970,1867475,77.8619063601625,50659,53096,50021,94.2086032846165,2023-01-01
"1700","Secondary school teachers","Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",536264,231158,305106,56.8947384124237,52671,55800,51608,92.4874551971326,2023-01-01
"1701","Special education teachers","Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",178054,25632,152422,85.6043672144406,48840,49953,48703,97.4976477889216,2023-01-01
"1702","Other teachers and instructors","Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",356475,167249,189226,53.0825443579494,45426,51439,40544,78.8195726977585,2023-01-01
"1703","Archivists, curators, and museum technicians","Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",36260,13889,22371,61.696083838941,48374,52835,45296,85.7310494937068,2023-01-01
"1704","Librarians","Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",115076,23238,91838,79.8063888213007,51429,57961,50671,87.42257725022,2023-01-01
"1705","Library technicians","Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",11386,2235,9151,80.3706305989812,31228,45951,28397,NA,2023-01-01
"1706","Teacher assistants","Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",421376,53389,367987,87.3298431804374,22682,31063,22095,71.1296397643499,2023-01-01
"1707","Other education, training, and library workers","Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",74463,21638,52825,70.9412728469173,52790,59582,51638,86.6671142291296,2023-01-01
"1708","Artists and related workers","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",121771,76519,45252,37.161557349451,45124,51669,36922,71.4587083163986,2023-01-01
"1709","Designers","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",628865,328481,300384,47.7660547176262,51768,60035,46516,77.4814691429999,2023-01-01
"1710","Actors","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",14423,8254,6169,42.7719614504611,41201,43425,36214,NA,2023-01-01
"1711","Producers and directors","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",121999,77794,44205,36.2339035565865,68571,71577,62435,87.2277407547117,2023-01-01
"1712","Athletes, coaches, umpires, and related workers","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",123505,91380,32125,26.011092668313,46393,49152,41270,83.9640299479167,2023-01-01
"1713","Dancers and choreographers","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",6556,1468,5088,77.6082977425259,31342,51586,24844,NA,2023-01-01
"1714","Musicians, singers, and related workers","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",66779,51875,14904,22.3183935069408,41300,41521,40399,97.2977529442932,2023-01-01
"1715","Entertainers and performers, sports and related workers, all other","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",18325,11738,6587,35.9454297407913,39303,41549,31670,NA,2023-01-01
"1716","Announcers","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",26152,19879,6273,23.986693178342,45767,45883,45062,NA,2023-01-01
"1717","News analysts, reporters and correspondents","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",57202,31972,25230,44.1068494108598,55372,58457,50435,86.2770925637648,2023-01-01
"1718","Public relations specialists","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",103540,35880,67660,65.3467259030326,65386,77116,61547,79.8109341770839,2023-01-01
"1719","Editors","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",125387,64120,61267,48.862322250313,55140,57665,52078,90.3112806728518,2023-01-01
"1720","Technical writers","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",47360,19792,27568,58.2094594594595,71388,73800,70139,95.0392953929539,2023-01-01
"1721","Writers and authors","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",132235,57364,74871,56.6196544031459,55464,58065,52347,90.1524153965384,2023-01-01
"1722","Miscellaneous media and communication workers","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",54009,20909,33100,61.2860819493048,42255,47608,41197,86.533775835994,2023-01-01
"1723","Miscellaneous media and communications equipment workers, including broadcast and sound engineering technicians and radio operators","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",70806,66356,4450,6.2847781261475,52335,54586,46794,NA,2023-01-01
"1724","Photographers","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",90481,54402,36079,39.8746698201832,36504,41275,31254,75.7213809812235,2023-01-01
"1725","Television, video, and motion picture camera operators and editors","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",37742,30920,6822,18.0753537173441,51138,51388,50355,NA,2023-01-01
"1726","Chiropractors","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",40960,31857,9103,22.22412109375,80466,86586,57522,66.4333726006514,2023-01-01
"1727","Dentists","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",93294,65998,27296,29.2580444615945,150132,158810,115473,72.7114161576727,2023-01-01
"1728","Dietitians and nutritionists","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",70729,8095,62634,88.5549067567758,49841,47439,49886,105.158203166171,2023-01-01
"1729","Optometrists","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",27134,18087,9047,33.3419326306479,117397,125489,101000,80.4851421240109,2023-01-01
"1730","Pharmacists","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",214665,97539,117126,54.5622248619943,120878,122351,118461,96.8206226348783,2023-01-01
"1731","Physicians and surgeons","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",743383,489748,253635,34.1190207470442,201542,231420,166388,71.8987122979863,2023-01-01
"1732","Physician assistants","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",76018,27869,48149,63.338946039096,101940,111673,100434,89.9357946862715,2023-01-01
"1733","Podiatrists","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",6093,5140,953,15.6408993927458,126617,140350,101644,NA,2023-01-01
"1734","Audiologists","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",11195,2186,9009,80.4734256364448,72760,74127,72123,NA,2023-01-01
"1735","Occupational therapists","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",72099,9813,62286,86.3895477052386,70679,80834,70044,86.6516564811837,2023-01-01
"1736","Physical therapists","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",162536,60163,102373,62.9848156716051,77605,85149,74555,87.5582801911943,2023-01-01
"1737","Radiation therapists","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",10165,3289,6876,67.6438760452533,88073,95008,79488,NA,2023-01-01
"1738","Recreational therapists","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",10160,3072,7088,69.7637795275591,40040,41037,38967,NA,2023-01-01
"1739","Respiratory therapists","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",92125,37338,54787,59.4702849389417,56532,61280,52583,85.8077676240209,2023-01-01
"1740","Speech-language pathologists","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",87443,4661,82782,94.6696705282298,63532,75360,62734,NA,2023-01-01
"1741","Miscellaneous therapists, including exercise physiologists","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",107797,25250,82547,76.5763425698303,50208,52202,48955,93.7799318033792,2023-01-01
"1742","Veterinarians","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",65797,26912,38885,59.0984391385626,90063,103622,82228,79.3538051765069,2023-01-01
"1743","Registered nurses","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",2317493,281048,2036445,87.8727573287168,65331,70952,64413,90.7839102491826,2023-01-01
"1744","Nurse anesthetists","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",26253,10941,15312,58.3247628842418,160522,176957,151667,85.7083924343202,2023-01-01
"1745","Nurse midwives","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",4001,0,4001,100,101552,NA,101552,NA,2023-01-01
"1746","Nurse practitioners","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",116166,14128,102038,87.8380937623746,100639,111130,100030,90.0116980113381,2023-01-01
"1747","Health diagnosing and treating practitioners, all other","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",13264,5463,7801,58.8133293124246,55718,65898,51087,NA,2023-01-01
"1748","Clinical laboratory technologists and technicians","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",245278,68887,176391,71.9147253320722,48170,51112,46984,91.9236187196744,2023-01-01
"1749","Dental hygienists","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",71498,4845,66653,93.2235866737531,56632,70807,55946,NA,2023-01-01
"1750","Diagnostic related technologists and technicians","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",263276,88369,174907,66.434844041994,58828,64560,55958,86.6759603469641,2023-01-01
"1751","Emergency medical technicians and paramedics","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",167315,114281,53034,31.697098287661,42373,46301,39941,86.2637955983672,2023-01-01
"1752","Health practitioner support technologists and technicians","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",440607,98824,341783,77.5709419051445,32466,36093,32093,88.9175186324218,2023-01-01
"1753","Licensed practical and licensed vocational nurses","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",602316,77484,524832,87.1356563664256,38946,40939,38523,94.0985368475048,2023-01-01
"1754","Medical records and health information technicians","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",148302,14938,133364,89.9273104880582,38273,37208,38404,103.214362502688,2023-01-01
"1755","Opticians, dispensing","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",48366,14044,34322,70.963073233263,37389,50622,35058,69.2544743392201,2023-01-01
"1756","Miscellaneous health technologists and technicians","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",97277,36999,60278,61.9653155422145,41207,51118,36438,71.2821315387926,2023-01-01
"1757","Other healthcare practitioners and technical","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",105941,59387,46554,43.9433269461304,57179,61968,52594,84.8728375935967,2023-01-01
"1758","Nursing, psychiatric, and home health aides","Service","Healthcare Support",1256050,174528,1081522,86.1050117431631,26056,29503,25706,87.1301223604379,2023-01-01
"1759","Occupational therapy assistants and aides","Service","Healthcare Support",13820,2179,11641,84.232995658466,51182,60709,49665,NA,2023-01-01
"1760","Physical therapist assistants and aides","Service","Healthcare Support",59281,19380,39901,67.3082437880602,45826,48915,42677,87.2472656649289,2023-01-01
"1761","Massage therapists","Service","Healthcare Support",67798,16699,51099,75.3694799256615,30766,30833,30739,99.6951318392631,2023-01-01
"1762","Dental assistants","Service","Healthcare Support",167955,13096,154859,92.2026733351195,31226,32231,31161,96.6802147001334,2023-01-01
"1763","Medical assistants","Service","Healthcare Support",382920,35341,347579,90.7706570563042,30549,32083,30418,94.8103356917994,2023-01-01
